MovieID,Title,RatingsNum,AvgRating
2858,American Beauty (1999),3428,4.3173862310385065
260,Star Wars: Episode IV - A New Hope (1977),2991,4.453694416583082
2028,Saving Private Ryan (1998),2653,4.337353938937053
2571,"Matrix, The (1999)",2590,4.315830115830116
593,"Silence of the Lambs, The (1991)",2578,4.3518231186966645
1198,Raiders of the Lost Ark (1981),2514,4.477724741447892
2762,"Sixth Sense, The (1999)",2459,4.406262708418057
1197,"Princess Bride, The (1987)",2318,4.3037100949094045
527,Schindler's List (1993),2304,4.510416666666667
318,"Shawshank Redemption, The (1994)",2227,4.554557700942973
858,"Godfather, The (1972)",2223,4.524966261808367
50,"Usual Suspects, The (1995)",1783,4.517106001121705
1193,One Flew Over the Cuckoo's Nest (1975),1725,4.390724637681159
1221,"Godfather: Part II, The (1974)",1692,4.357565011820331
912,Casablanca (1942),1669,4.412822049131217
1136,Monty Python and the Holy Grail (1974),1599,4.335209505941213
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1367,4.4498902706656915
908,North by Northwest (1959),1315,4.38403041825095
1252,Chinatown (1974),1185,4.339240506329114
2324,Life Is Beautiful (La Vita è bella) (1997),1152,4.329861111111111
923,Citizen Kane (1941),1116,4.388888888888889
904,Rear Window (1954),1050,4.476190476190476
1234,"Sting, The (1973)",1049,4.320305052430887
913,"Maltese Falcon, The (1941)",1043,4.395973154362416
1233,"Boat, The (Das Boot) (1981)",1001,4.302697302697303
1250,"Bridge on the River Kwai, The (1957)",938,4.386993603411514
1207,To Kill a Mockingbird (1962),928,4.425646551724138
1148,"Wrong Trousers, The (1993)",882,4.507936507936508
910,Some Like It Hot (1959),832,4.300480769230769
1204,Lawrence of Arabia (1962),831,4.401925391095066
1267,"Manchurian Candidate, The (1962)",765,4.333333333333333
1262,"Great Escape, The (1963)",696,4.376436781609195
745,"Close Shave, A (1995)",657,4.52054794520548
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),628,4.560509554140127
898,"Philadelphia Story, The (1940)",582,4.3006872852233675
3435,Double Indemnity (1944),551,4.415607985480944
1284,"Big Sleep, The (1946)",541,4.312384473197782
2186,Strangers on a Train (1951),482,4.304979253112033
1212,"Third Man, The (1949)",480,4.452083333333333
1223,"Grand Day Out, A (1992)",473,4.361522198731501
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),470,4.491489361702127
720,Wallace & Gromit: The Best of Aardman Animation (1996),438,4.426940639269406
1260,M (1931),308,4.3019480519480515
1147,When We Were Kings (1996),277,4.32129963898917
3429,Creature Comforts (1990),274,4.335766423357664
3307,City Lights (1931),271,4.387453874538745
3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",252,4.357142857142857
1178,Paths of Glory (1957),230,4.473913043478261
1131,Jean de Florette (1986),216,4.324074074074074
3030,Yojimbo (1961),215,4.404651162790698
3022,"General, The (1927)",206,4.368932038834951
2731,"400 Blows, The (Les Quatre cents coups) (1959)",187,4.320855614973262
3134,"Grand Illusion (Grande illusion, La) (1937)",165,4.33939393939394
2360,"Celebration, The (Festen) (1998)",117,4.3076923076923075
3470,Dersu Uzala (1974),92,4.326086956521739
2905,Sanjuro (1962),69,4.608695652173913
326,To Live (Huozhe) (1994),61,4.344262295081967
670,"World of Apu, The (Apur Sansar) (1959)",56,4.410714285714286
668,Pather Panchali (1955),47,4.404255319148936
3338,For All Mankind (1989),27,4.444444444444445
1423,Hearts and Minds (1996),14,4.357142857142857
128,Jupiter's Wife (1994),12,4.333333333333333
3410,Soft Fruit (1999),9,4.333333333333333
2503,"Apple, The (Sib) (1998)",9,4.666666666666667
53,Lamerica (1994),8,4.75
2930,Return with Honor (1998),5,4.4
3245,I Am Cuba (Soy Cuba/Ya Kuba) (1964),5,4.8
787,"Gate of Heavenly Peace, The (1995)",3,5.0
557,Mamma Roma (1962),2,4.5
578,"Hour of the Pig, The (1993)",2,4.5
2309,"Inheritors, The (Die Siebtelbauern) (1998)",2,4.5
439,Dangerous Game (1993),2,4.5
1795,"Callejón de los milagros, El (1995)",2,4.5
3233,Smashing Time (1967),2,5.0
3888,Skipped Parts (2000),2,4.5
2480,Dry Cleaning (Nettoyage à sec) (1997),2,4.5
3517,"Bells, The (1926)",2,4.5
3881,Bittersweet Motel (2000),1,5.0
3280,"Baby, The (1973)",1,5.0
989,Schlafes Bruder (Brother of Sleep) (1995),1,5.0
3656,Lured (1947),1,5.0
3172,Ulysses (Ulisse) (1954),1,5.0
1830,Follow the Bitch (1998),1,5.0
3382,Song of Freedom (1936),1,5.0
3607,One Little Indian (1973),1,5.0
